id|name|link|parent_id
1|casques|https://www.dafy-moto.com/casques.html|1
10|accessoires|https://www.dafy-moto.com/casques/accessoires.html|1
29|équipement motard|https://www.dafy-moto.com/equipement-motard.html|29
30|blousons, combinaisons|https://www.dafy-moto.com/equipement-motard/blousons-combinaisons.html|29
31|blouson cuir|https://www.dafy-moto.com/equipement-motard/blousons-combinaisons/blouson-cuir.html|30
32|blouson textile|https://www.dafy-moto.com/equipement-motard/blousons-combinaisons/blouson-textile.html|30
33|veste|https://www.dafy-moto.com/equipement-motard/blousons-combinaisons/veste.html|30
34|combinaison cuir|https://www.dafy-moto.com/equipement-motard/blousons-combinaisons/combinaison-cuir.html|30
35|streetwear|https://www.dafy-moto.com/equipement-motard/blousons-combinaisons/streetwear.html|30
36|blouson et veste gore-tex®|https://www.dafy-moto.com/equipement-motard/blousons-combinaisons/blouson-veste-goretex.html|30
37|entretien cuir/textile|https://www.dafy-moto.com/equipement-motard/entretien-cuir-textile.html|30
38|gants|https://www.dafy-moto.com/equipement-motard/gants.html|29
39|gants cuir|https://www.dafy-moto.com/equipement-motard/gants/gants-cuir.html|38
40|gants textile|https://www.dafy-moto.com/equipement-motard/gants/gants-textile.html|38
41|gants été|https://www.dafy-moto.com/equipement-motard/gants/gants-ete.html|38
42|gants mi-saison|https://www.dafy-moto.com/equipement-motard/gants/gants-mi-saison.html|38
43|gants hiver|https://www.dafy-moto.com/equipement-motard/gants/gants-hiver.html|38
44|gants gore-tex®|https://www.dafy-moto.com/equipement-motard/gants/gants-goretex.html|38
45|gants racing, sport|https://www.dafy-moto.com/equipement-motard/gants/gants-racing.html|38
46|gants chauffants|https://www.dafy-moto.com/equipement-motard/gants/gants-chauffants.html|38
47|bottes, chaussures|https://www.dafy-moto.com/equipement-motard/bottes-chaussures.html|29
48|bottes|https://www.dafy-moto.com/equipement-motard/bottes-chaussures/bottes.html|47
49|baskets|https://www.dafy-moto.com/equipement-motard/bottes-chaussures/baskets.html|47
50|chaussures|https://www.dafy-moto.com/equipement-motard/bottes-chaussures/chaussures.html|47
51|bottes et chaussures gore-tex®|https://www.dafy-moto.com/equipement-motard/bottes-chaussures/bottes-chaussures-gore-tex.html|47
52|pantalons|https://www.dafy-moto.com/equipement-motard/pantalons.html|29
53|pantalon cuir|https://www.dafy-moto.com/equipement-motard/pantalons/pantalon-cuir.html|52
54|pantalon textile|https://www.dafy-moto.com/equipement-motard/pantalons/pantalon-textile.html|52
55|pantalon gore-tex®|https://www.dafy-moto.com/equipement-motard/pantalons/pantalon-gore-tex.html|52
56|pantalon racing|https://www.dafy-moto.com/equipement-motard/pantalons/pantalon-racing.html|52
