"Réf Fournisseur","Référence G8","Code barre","Désignation","Cde four.","Fournisseur","Couleur","Code Couleur","Marque","Taille","Rayon","Sous-rayon","Catégorie"
"402101003","380261900106","3802619001068","IXON AIRBLOCK PLAST N L","D4924","ACCESS EQUIP MOTOS FRANCE","NOIR","","IXON","L/XL","Pilote","PROTECTIONS FROID-CHAUD","DIVERS ACCESS.PROT.FROID"
"402101003","380261900104","3802619001044","IXON AIRBLOCK PLAST N S","D4924","ACCESS EQUIP MOTOS FRANCE","NOIR","","IXON","S/M","Pilote","PROTECTIONS FROID-CHAUD","DIVERS ACCESS.PROT.FROID"
"100101087","125006400609","1250064006091","IXON COOL AIR BG 3XL","D4924","ACCESS EQUIP MOTOS FRANCE","BEIGE","","IXON","3XL","Pilote","VETEMENTS TEXTILE","BLOUSONS ETE"
"100101087","125006400606","1250064006060","IXON COOL AIR BG L","D4924","ACCESS EQUIP MOTOS FRANCE","BEIGE","","IXON","L","Pilote","VETEMENTS TEXTILE","BLOUSONS ETE"
"100101087","125006400605","1250064006053","IXON COOL AIR BG M","D4924","ACCESS EQUIP MOTOS FRANCE","BEIGE","","IXON","M","Pilote","VETEMENTS TEXTILE","BLOUSONS ETE"
"100101087","125006400604","1250064006046","IXON COOL AIR BG S","D4924","ACCESS EQUIP MOTOS FRANCE","BEIGE","","IXON","S","Pilote","VETEMENTS TEXTILE","BLOUSONS ETE"
"100101087","125006400607","1250064006077","IXON COOL AIR BG XL","D4924","ACCESS EQUIP MOTOS FRANCE","BEIGE","","IXON","XL","Pilote","VETEMENTS TEXTILE","BLOUSONS ETE"
"100101087","125006400608","1250064006084","IXON COOL AIR BG XXL","D4924","ACCESS EQUIP MOTOS FRANCE","BEIGE","","IXON","XXL","Pilote","VETEMENTS TEXTILE","BLOUSONS ETE"
"100101088","125006706809","1250067068096","IXON COOL AIR CS NBC 3XL","D4924","ACCESS EQUIP MOTOS FRANCE","NOIR BLANC","","IXON","3XL KING SIZE","Pilote","VETEMENTS TEXTILE","BLOUSONS ETE"
"100101088","125006706810","1250067068102","IXON COOL AIR CS NBC 4XL","D4924","ACCESS EQUIP MOTOS FRANCE","NOIR BLANC","","IXON","4XL KING SIZE","Pilote","VETEMENTS TEXTILE","BLOUSONS ETE"
